Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"2","'004","Afghanistan","6524","Charcoal","5851","Energy consumption","TJ","1150.000000","E","1190.000000","E","1287.000000","E","1404.000000","E","1536.000000","E","1677.000000","E","1827.000000","E","1983.000000","E","2094.000000","E","2234.000000","E","2384.000000","E","2471.000000","E","2560.000000","E","2653.000000","E","2750.000000","E","2850.000000","E","2937.000000","E","3028.000000","E","3121.000000","E","3217.000000","E","3318.000000","E","3412.000000","E","3510.000000","E","3611.000000","E","3715.000000","E","3822.000000","E","3936.000000","E","4038.000000","E","4168.000000","E","4265.000000","E","4385.000000","E","4508.000000","E","4602.000000","E"
"2","'004","Afghanistan","6524","Charcoal","5852","Energy production","TJ","1150.000000","E","1190.000000","E","1287.000000","E","1404.000000","E","1536.000000","E","1677.000000","E","1827.000000","E","1983.000000","E","2094.000000","E","2234.000000","E","2384.000000","E","2471.000000","E","2560.000000","E","2653.000000","E","2750.000000","E","2850.000000","E","2937.000000","E","3028.000000","E","3121.000000","E","3217.000000","E","3316.000000","E","3412.000000","E","3510.000000","E","3610.000000","E","3714.000000","E","3821.000000","E","3927.000000","E","4037.000000","E","4149.000000","E","4265.000000","E","4384.000000","E","4508.000000","E","4602.000000","E"
"2","'004","Afghanistan","6525","Fuelwood","5851","Energy consumption","TJ","4177.000000","E","4290.000000","E","4540.000000","E","4846.000000","E","5186.000000","E","5539.000000","E","5918.000000","E","6307.000000","E","6568.000000","E","6902.000000","E","7252.000000","E","7415.000000","E","7581.000000","E","7751.000000","E","7925.000000","E","8103.000000","E","8228.000000","E","8355.000000","E","8484.000000","E","8616.000000","E","8832.000000","E","8783.000000","E","8953.000000","E","9057.000000","E","9162.000000","E","9268.000000","E","9365.000000","E","9460.000000","E","9560.000000","E","9654.000000","E","9756.000000","E","9848.000000","E","9994.000000","E"
"2","'004","Afghanistan","6525","Fuelwood","5852","Energy production","TJ","6314.000000","E","6502.000000","E","6931.000000","E","7455.000000","E","8040.000000","E","8655.000000","E","9312.000000","E","9991.000000","E","10460.000000","E","11053.000000","E","11681.000000","E","12005.000000","E","12338.000000","E","12681.000000","E","13034.000000","E","13398.000000","E","13686.000000","E","13981.000000","E","14284.000000","E","14594.000000","E","14993.000000","E","15121.000000","E","15474.000000","E","15765.000000","E","16063.000000","E","16368.000000","E","16660.000000","E","16960.000000","E","17266.000000","E","17578.000000","E","17898.000000","E","18224.000000","E","18544.000000","E"
"2","'004","Afghanistan","6527","Total Bioenergy","5851","Energy consumption","TJ","5327.000000","E","5480.000000","E","5827.000000","E","6250.000000","E","6722.000000","E","7216.000000","E","7745.000000","E","8290.000000","E","8662.000000","E","9136.000000","E","9636.000000","E","9886.000000","E","10141.000000","E","10404.000000","E","10675.000000","E","10953.000000","E","11165.000000","E","11383.000000","E","11605.000000","E","11833.000000","E","12150.000000","E","12195.000000","E","12463.000000","E","12668.000000","E","12877.000000","E","13090.000000","E","13301.000000","E","13498.000000","E","13728.000000","E","13919.000000","E","14141.000000","E","14356.000000","E","14596.000000","E"
"2","'004","Afghanistan","6527","Total Bioenergy","5852","Energy production","TJ","6314.000000","E","6502.000000","E","6931.000000","E","7455.000000","E","8040.000000","E","8655.000000","E","9312.000000","E","9991.000000","E","10460.000000","E","11053.000000","E","11681.000000","E","12005.000000","E","12338.000000","E","12681.000000","E","13034.000000","E","13398.000000","E","13686.000000","E","13981.000000","E","14284.000000","E","14594.000000","E","14993.000000","E","15121.000000","E","15474.000000","E","15765.000000","E","16063.000000","E","16368.000000","E","16660.000000","E","16960.000000","E","17266.000000","E","17578.000000","E","17898.000000","E","18224.000000","E","18544.000000","E"
"2","'004","Afghanistan","6529","Solid biofuels","5851","Energy consumption","TJ","5327.000000","E","5480.000000","E","5827.000000","E","6250.000000","E","6722.000000","E","7216.000000","E","7745.000000","E","8290.000000","E","8662.000000","E","9136.000000","E","9636.000000","E","9886.000000","E","10141.000000","E","10404.000000","E","10675.000000","E","10953.000000","E","11165.000000","E","11383.000000","E","11605.000000","E","11833.000000","E","12150.000000","E","12195.000000","E","12463.000000","E","12668.000000","E","12877.000000","E","13090.000000","E","13301.000000","E","13498.000000","E","13728.000000","E","13919.000000","E","14141.000000","E","14356.000000","E","14596.000000","E"
"2","'004","Afghanistan","6529","Solid biofuels","5852","Energy production","TJ","6314.000000","E","6502.000000","E","6931.000000","E","7455.000000","E","8040.000000","E","8655.000000","E","9312.000000","E","9991.000000","E","10460.000000","E","11053.000000","E","11681.000000","E","12005.000000","E","12338.000000","E","12681.000000","E","13034.000000","E","13398.000000","E","13686.000000","E","13981.000000","E","14284.000000","E","14594.000000","E","14993.000000","E","15121.000000","E","15474.000000","E","15765.000000","E","16063.000000","E","16368.000000","E","16660.000000","E","16960.000000","E","17266.000000","E","17578.000000","E","17898.000000","E","18224.000000","E","18544.000000","E"
"3","'008","Albania","6521","Biodiesel","5851","Energy consumption","TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178.000000","E","356.000000","E","534.000000","E","711.000000","E","889.000000","E","1067.000000","E","1251.000000","E","3386.000000","E","3234.000000","E","4600.000000","E","4784.000000","E","4048.000000","E","4416.000000","E","4048.000000","E"
"3","'008","Albania","6524","Charcoal","5851","Energy consumption","TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206.000000","E","148.000000","E","74.000000","E","88.000000","E","103.000000","E","133.000000","E","148.000000","E"
