Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
"2","'004","Afghanistan","6524","Charcoal","5851","Energy consumption","TJ","1150.000000","1190.000000","1287.000000","1404.000000","1536.000000","1677.000000","1827.000000","1983.000000","2094.000000","2234.000000","2384.000000","2471.000000","2560.000000","2653.000000","2750.000000","2850.000000","2937.000000","3028.000000","3121.000000","3217.000000","3318.000000","3412.000000","3510.000000","3611.000000","3715.000000","3822.000000","3936.000000","4038.000000","4168.000000","4265.000000","4385.000000","4508.000000","4602.000000"
"2","'004","Afghanistan","6524","Charcoal","5852","Energy production","TJ","1150.000000","1190.000000","1287.000000","1404.000000","1536.000000","1677.000000","1827.000000","1983.000000","2094.000000","2234.000000","2384.000000","2471.000000","2560.000000","2653.000000","2750.000000","2850.000000","2937.000000","3028.000000","3121.000000","3217.000000","3316.000000","3412.000000","3510.000000","3610.000000","3714.000000","3821.000000","3927.000000","4037.000000","4149.000000","4265.000000","4384.000000","4508.000000","4602.000000"
"2","'004","Afghanistan","6525","Fuelwood","5851","Energy consumption","TJ","4177.000000","4290.000000","4540.000000","4846.000000","5186.000000","5539.000000","5918.000000","6307.000000","6568.000000","6902.000000","7252.000000","7415.000000","7581.000000","7751.000000","7925.000000","8103.000000","8228.000000","8355.000000","8484.000000","8616.000000","8832.000000","8783.000000","8953.000000","9057.000000","9162.000000","9268.000000","9365.000000","9460.000000","9560.000000","9654.000000","9756.000000","9848.000000","9994.000000"
"2","'004","Afghanistan","6525","Fuelwood","5852","Energy production","TJ","6314.000000","6502.000000","6931.000000","7455.000000","8040.000000","8655.000000","9312.000000","9991.000000","10460.000000","11053.000000","11681.000000","12005.000000","12338.000000","12681.000000","13034.000000","13398.000000","13686.000000","13981.000000","14284.000000","14594.000000","14993.000000","15121.000000","15474.000000","15765.000000","16063.000000","16368.000000","16660.000000","16960.000000","17266.000000","17578.000000","17898.000000","18224.000000","18544.000000"
"2","'004","Afghanistan","6527","Total Bioenergy","5851","Energy consumption","TJ","5327.000000","5480.000000","5827.000000","6250.000000","6722.000000","7216.000000","7745.000000","8290.000000","8662.000000","9136.000000","9636.000000","9886.000000","10141.000000","10404.000000","10675.000000","10953.000000","11165.000000","11383.000000","11605.000000","11833.000000","12150.000000","12195.000000","12463.000000","12668.000000","12877.000000","13090.000000","13301.000000","13498.000000","13728.000000","13919.000000","14141.000000","14356.000000","14596.000000"
"2","'004","Afghanistan","6527","Total Bioenergy","5852","Energy production","TJ","6314.000000","6502.000000","6931.000000","7455.000000","8040.000000","8655.000000","9312.000000","9991.000000","10460.000000","11053.000000","11681.000000","12005.000000","12338.000000","12681.000000","13034.000000","13398.000000","13686.000000","13981.000000","14284.000000","14594.000000","14993.000000","15121.000000","15474.000000","15765.000000","16063.000000","16368.000000","16660.000000","16960.000000","17266.000000","17578.000000","17898.000000","18224.000000","18544.000000"
"2","'004","Afghanistan","6529","Solid biofuels","5851","Energy consumption","TJ","5327.000000","5480.000000","5827.000000","6250.000000","6722.000000","7216.000000","7745.000000","8290.000000","8662.000000","9136.000000","9636.000000","9886.000000","10141.000000","10404.000000","10675.000000","10953.000000","11165.000000","11383.000000","11605.000000","11833.000000","12150.000000","12195.000000","12463.000000","12668.000000","12877.000000","13090.000000","13301.000000","13498.000000","13728.000000","13919.000000","14141.000000","14356.000000","14596.000000"
"2","'004","Afghanistan","6529","Solid biofuels","5852","Energy production","TJ","6314.000000","6502.000000","6931.000000","7455.000000","8040.000000","8655.000000","9312.000000","9991.000000","10460.000000","11053.000000","11681.000000","12005.000000","12338.000000","12681.000000","13034.000000","13398.000000","13686.000000","13981.000000","14284.000000","14594.000000","14993.000000","15121.000000","15474.000000","15765.000000","16063.000000","16368.000000","16660.000000","16960.000000","17266.000000","17578.000000","17898.000000","18224.000000","18544.000000"
"3","'008","Albania","6521","Biodiesel","5851","Energy consumption","TJ",,,,,,,,,,,,,,,,,,,,"178.000000","356.000000","534.000000","711.000000","889.000000","1067.000000","1251.000000","3386.000000","3234.000000","4600.000000","4784.000000","4048.000000","4416.000000","4048.000000"
"3","'008","Albania","6524","Charcoal","5851","Energy consumption","TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,"206.000000","148.000000","74.000000","88.000000","103.000000","133.000000","148.000000"
