Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"2","'004","Afghanistan","3102","Nutrient nitrogen N (total)","5159","Use per area of cropland","kg/ha","0.130000","E","0.130000","E","0.130000","E","0.130000","E","0.130000","E","0.130000","E","1.130000","E","1.750000","E","1.880000","E","2.000000","E","1.840000","E","1.990000","E","2.200000","E","3.010000","E","3.440000","E","3.810000","E","4.600000","E","4.410000","E","4.130000","E","4.700000","E","3.570000","E","4.820000","E","4.570000","E","6.560000","E","6.600000","E","6.300000","E","6.560000","E","6.200000","E","6.220000","E","5.490000","E","5.330000","E","4.840000","E","5.040000","E",,,,,"0.640000","E","0.640000","E","0.760000","E","0.640000","E","0.640000","E","2.370000","E","3.160000","E","2.580000","E","2.820000","E","2.590000","E","2.590000","E","2.070000","E","1.820000","E","1.790000","E","1.630000","E","2.900000","E","2.160000","E","4.410000","E","9.340000","E","11.700000","E","12.220000","E","17.800000","E","5.820000","E","7.450000","E","5.330000","E"
"2","'004","Afghanistan","3102","Nutrient nitrogen N (total)","5172","Use per capita","kg/cap","0.110000","E","0.110000","E","0.100000","E","0.100000","E","0.100000","E","0.100000","E","0.870000","E","1.320000","E","1.380000","E","1.430000","E","1.290000","E","1.360000","E","1.460000","E","1.950000","E","2.180000","E","2.370000","E","2.810000","E","2.660000","E","2.480000","E","2.830000","E","2.180000","E","3.020000","E","2.940000","E","4.330000","E","4.450000","E","4.320000","E","4.550000","E","4.290000","E","4.210000","E","3.550000","E","3.220000","E","2.690000","E","2.530000","E",,,,,"0.270000","E","0.260000","E","0.300000","E","0.250000","E","0.240000","E","0.850000","E","1.090000","E","0.860000","E","0.900000","E","0.800000","E","0.770000","E","0.600000","E","0.520000","E","0.500000","E","0.440000","E","0.760000","E","0.550000","E","1.080000","E","2.210000","E","2.690000","E","2.730000","E","3.880000","E","1.250000","E","1.570000","E","1.110000","E"
"2","'004","Afghanistan","3102","Nutrient nitrogen N (total)","5173","Use per value of agricultural production","kg/1000 Int.$","0.390000","E","0.380000","E","0.380000","E","0.360000","E","0.340000","E","0.330000","E","2.720000","E","4.050000","E","4.270000","E","4.980000","E","4.930000","E","5.070000","E","5.130000","E","6.740000","E","7.460000","E","7.690000","E","10.330000","E","9.290000","E","8.860000","E","10.130000","E","7.720000","E","10.570000","E","10.300000","E","15.350000","E","16.600000","E","17.270000","E","17.510000","E","16.670000","E","16.840000","E","13.850000","E","11.640000","E","10.900000","E","10.630000","E",,,,,"1.150000","E","1.070000","E","1.230000","E","1.030000","E","1.210000","E","4.890000","E","5.430000","E","4.420000","E","4.970000","E","4.070000","E","4.400000","E","3.220000","E","3.010000","E","2.550000","E","2.340000","E","4.360000","E","2.960000","E","6.230000","E","12.250000","E","16.210000","E","15.890000","E","23.590000","E","8.020000","E","9.080000","E","6.140000","E"
"2","'004","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5159","Use per area of cropland","kg/ha","0.010000","E","0.010000","E","0.010000","E","0.010000","E","0.010000","E","0.060000","E","0.130000","E","0.130000","E","0.250000","E","0.420000","E","0.710000","E","1.630000","E","0.860000","E","1.190000","E","1.080000","E","1.690000","E","2.140000","E","2.250000","E","2.040000","E","1.610000","E","2.090000","E","1.730000","E","2.460000","E","2.460000","E","2.460000","E","2.060000","E","3.260000","E","0.730000","E","0.700000","E","0.050000","E","0.720000","E","0.860000","E",,,,,,,,,,,"0.130000","E",,,,,,,"0.000000","E","0.840000","E","1.360000","E","1.160000","E","0.560000","E","0.000000","E","0.000000","E","0.070000","E","0.120000","E","0.870000","E","0.160000","E","0.380000","E","0.650000","E","1.380000","E","1.140000","E","2.110000","E","1.540000","E","3.220000","E","3.080000","E"
"2","'004","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5172","Use per capita","kg/cap","0.010000","E","0.010000","E","0.010000","E","0.010000","E","0.010000","E","0.050000","E","0.100000","E","0.090000","E","0.180000","E","0.300000","E","0.500000","E","1.110000","E","0.570000","E","0.770000","E","0.690000","E","1.050000","E","1.310000","E","1.360000","E","1.230000","E","0.970000","E","1.280000","E","1.080000","E","1.580000","E","1.620000","E","1.660000","E","1.410000","E","2.260000","E","0.510000","E","0.470000","E","0.030000","E","0.440000","E","0.480000","E",,,,,,,,,,,"0.050000","E",,,,,,,"0.000000","E","0.280000","E","0.440000","E","0.360000","E","0.170000","E","0.000000","E","0.000000","E","0.020000","E","0.030000","E","0.230000","E","0.040000","E","0.090000","E","0.150000","E","0.320000","E","0.250000","E","0.460000","E","0.330000","E","0.680000","E","0.640000","E"
"2","'004","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5173","Use per value of agricultural production","kg/1000 Int.$","0.040000","E","0.040000","E","0.040000","E","0.040000","E","0.030000","E","0.170000","E","0.300000","E","0.290000","E","0.570000","E","1.060000","E","1.900000","E","4.150000","E","2.000000","E","2.670000","E","2.350000","E","3.410000","E","4.800000","E","4.740000","E","4.380000","E","3.480000","E","4.530000","E","3.790000","E","5.530000","E","5.750000","E","6.170000","E","5.640000","E","8.700000","E","1.970000","E","1.890000","E","0.130000","E","1.580000","E","1.930000","E",,,,,,,,,,,"0.200000","E",,,,,,,"0.000000","E","1.440000","E","2.400000","E","1.830000","E","0.950000","E","0.000000","E","0.000000","E","0.100000","E","0.170000","E","1.300000","E","0.220000","E","0.540000","E","0.850000","E","1.910000","E","1.480000","E","2.790000","E","2.120000","E","3.920000","E","3.550000","E"
"2","'004","Afghanistan","3104","Nutrient potash K2O (total)","5159","Use per area of cropland","kg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.010000","E",,,,,,,"0.010000","E","0.010000","E","0.040000","E","0.010000","E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","E","0.000000","E","0.000000","E","0.010000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.020000","E","0.010000","E","0.000000","E","0.010000","E","0.010000","E","0.000000","E","0.000000","E","0.000000","E","0.020000","E"
"2","'004","Afghanistan","3104","Nutrient potash K2O (total)","5172","Use per capita","kg/cap",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.010000","E",,,,,,,"0.000000","E","0.010000","E","0.020000","E","0.010000","E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.010000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"2","'004","Afghanistan","3104","Nutrient potash K2O (total)","5173","Use per value of agricultural production","kg/1000 Int.$",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.030000","E",,,,,,,"0.010000","E","0.020000","E","0.080000","E","0.030000","E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","E","0.000000","E","0.010000","E","0.020000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.030000","E","0.020000","E","0.000000","E","0.010000","E","0.010000","E","0.010000","E","0.000000","E","0.000000","E","0.020000","E"
"3","'008","Albania","3102","Nutrient nitrogen N (total)","5159","Use per area of cropland","kg/ha","6.650000","E","4.110000","E","4.040000","E","3.990000","E","3.830000","E","5.560000","E","12.590000","E","33.330000","E","27.350000","E","37.560000","E","50.820000","E","52.240000","E","56.760000","E","55.670000","E","54.380000","E","66.130000","E","72.250000","E","103.160000","E","101.720000","E","98.010000","E","102.690000","E","99.860000","E","102.820000","E","105.190000","E","105.190000","E","105.190000","E","92.580000","E","97.060000","E","113.010000","E","104.400000","E","31.720000","E","21.050000","E","21.680000","E","18.060000","E","14.250000","E","7.830000","E","6.000000","E","25.750000","E","8.300000","E","17.310000","E","15.310000","E","54.670000","E","53.470000","E","51.670000","E","56.470000","E","43.030000","E","45.110000","E","41.240000","E","48.760000","E","44.960000","E","53.010000","E","50.210000","E","44.110000","E","44.130000","E","52.870000","E","60.980000","E","56.280000","E","35.590000","E","55.070000","E","47.380000","E"
