Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"3","'008","Albania","1357","Pesticides (total)","5157","Agricultural Use","tonnes","121.000000","E","121.000000","E","121.000000","E","121.000000","E","201.000000","E","251.000000","E","262.400000","E","273.790000","E","285.190000","E","296.590000","E","307.980000","E","319.380000","E","330.780000","E","342.170000","E","353.570000","E","364.970000","E","376.360000","E","387.760000","E","399.160000","E","410.550000","E","590.500000","E","582.680000","E","361.620000","E","450.600000","E","457.470000","E","538.240000","E","584.490000","E","614.910000","E","442.350000","E","729.670000","E","756.510000","E"
"3","'008","Albania","1309","Insecticides","5157","Agricultural Use","tonnes","70.000000","I","70.000000","I","70.000000","I","70.000000","A","117.000000","A","145.000000","A","149.920000","I","154.840000","I","159.760000","I","164.680000","I","169.600000","I","174.520000","I","179.440000","I","184.360000","I","189.280000","I","194.200000","I","199.120000","I","204.040000","I","208.960000","I","213.880000","E","375.800000","E","317.070000","E","157.570000","E","214.130000","E","34.480000","E","148.690000","E","182.280000","E","191.370000","E","119.320000","E","141.790000","E","146.750000","A"
"3","'008","Albania","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","tonnes",,,,,,,"10.000000","A","17.000000","A","22.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","tonnes",,,,,,,"30.000000","A","50.000000","A","64.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1312","Insecticides – Carbamates","5157","Agricultural Use","tonnes",,,,,,,"14.000000","A","26.000000","A","30.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1313","Insecticides – Pyrethroids","5157","Agricultural Use","tonnes",,,,,,,"1.000000","A","2.000000","A","2.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1315","Insecticides – Other","5157","Agricultural Use","tonnes",,,,,,,"15.000000","A","22.000000","A","27.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1320","Herbicides","5157","Agricultural Use","tonnes","5.000000","I","5.000000","I","5.000000","I","5.000000","A","7.000000","A","8.000000","A","8.000000","I","8.000000","I","7.990000","I","7.990000","I","7.990000","I","7.990000","I","7.980000","I","7.980000","I","7.980000","I","7.980000","I","7.980000","I","7.970000","I","7.970000","I","7.970000","E","6.910000","E","19.700000","E","9.770000","E","22.330000","E","27.650000","E","67.850000","E","33.660000","E","56.170000","E","65.890000","E","117.090000","E","128.450000","A"
"3","'008","Albania","1321","Herbicides – Phenoxy hormone products","5157","Agricultural Use","tonnes",,,,,,,"1.700000","A","2.000000","A","2.100000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1322","Herbicides – Triazines","5157","Agricultural Use","tonnes",,,,,,,"0.500000","A","0.700000","A","0.900000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1323","Herbicides – Amides","5157","Agricultural Use","tonnes",,,,,,,"0.500000","A","0.800000","A","1.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1324","Herbicides – Carbamates","5157","Agricultural Use","tonnes",,,,,,,"0.100000","A","0.200000","A","0.400000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1325","Herbicides – Dinitroanilines","5157","Agricultural Use","tonnes",,,,,,,"0.200000","A","0.300000","A","0.300000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1328","Herbicides – Sulfonyl ureas","5157","Agricultural Use","tonnes",,,,,,,"0.700000","A","1.000000","A","1.100000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1329","Herbicides – Bipiridils","5157","Agricultural Use","tonnes",,,,,,,"0.200000","A","0.300000","A","0.300000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1327","Herbicides – Other","5157","Agricultural Use","tonnes",,,,,,,"1.100000","A","1.700000","A","1.900000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1331","Fungicides and Bactericides","5157","Agricultural Use","tonnes","44.000000","I","44.000000","I","44.000000","I","44.000000","A","74.000000","A","94.000000","A","96.350000","I","98.690000","I","101.040000","I","103.390000","I","105.730000","I","108.080000","I","110.430000","I","112.770000","I","115.120000","I","117.470000","I","119.810000","I","122.160000","I","124.500000","I","126.850000","E","188.530000","E","208.600000","E","177.460000","E","182.480000","E","277.580000","E","236.440000","E","232.200000","E","241.470000","E","198.730000","E","351.830000","E","380.400000","A"
"3","'008","Albania","1332","Fung & Bact – Inorganics","5157","Agricultural Use","tonnes",,,,,,,"18.000000","A","32.000000","A","41.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1333","Fung & Bact – Dithiocarbamates","5157","Agricultural Use","tonnes",,,,,,,"9.000000","A","15.000000","A","19.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1334","Fung & Bact – Benzimidazoles","5157","Agricultural Use","tonnes",,,,,,,"1.000000","A","2.000000","A","3.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1335","Fung & Bact – Triazoles, diazoles","5157","Agricultural Use","tonnes",,,,,,,"1.000000","A","1.000000","A","2.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1337","Fung & Bact – Other","5157","Agricultural Use","tonnes",,,,,,,"15.000000","A","24.000000","A","29.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1352","Fungicides – Seed treatments","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.010000","I","0.020000","I","0.030000","I","0.040000","I","0.050000","I","0.060000","I","0.070000","I","0.080000","I","0.090000","I","0.100000","I","0.120000","I","0.130000","I","0.140000","I","0.150000","I","0.160000","I","0.170000","I","0.180000","I","0.190000","I","0.200000","I","0.210000","I","0.220000","I","0.230000","E","0.230000","I","0.230000","I","0.000000","I"
"3","'008","Albania","1353","Insecticides – Seed Treatments","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","1.800000","I","3.600000","I","5.400000","I","7.200000","I","9.010000","I","10.810000","I","12.610000","I","14.410000","I","16.210000","I","18.010000","I","19.810000","I","21.610000","I","23.410000","I","25.220000","E","2.050000","E","3.540000","E","5.200000","E","1.600000","E","59.010000","E","6.770000","E","7.600000","E","10.620000","E","9.340000","E","9.340000","I","0.000000","I"
"3","'008","Albania","1341","Plant Growth Regulators","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","1.120000","I","2.240000","I","3.360000","I","4.470000","I","5.590000","I","6.710000","I","7.830000","I","8.950000","I","10.070000","I","11.190000","I","12.300000","I","13.420000","I","14.540000","I","15.660000","E","0.350000","E","1.230000","E","2.460000","E","2.500000","E","1.390000","I","0.270000","E","0.710000","I","1.150000","I","1.590000","E","37.330000","E","37.320000","A"
